ForecastID,ds,Confirmed
30,2020-12-07,107126.01885431158
31,2020-12-07,668478.4151140499
32,2020-12-07,380238.8604294443
33,2020-12-07,92710.78728556067
34,2020-12-07,463028.4482411837
80,2020-12-08,109033.14496873191
81,2020-12-08,673195.4054262042
82,2020-12-08,382995.31325317867
83,2020-12-08,93993.29993384327
84,2020-12-08,470475.6740526384
130,2020-12-09,111194.27587849925
131,2020-12-09,678066.0921196847
132,2020-12-09,385822.13138278795
133,2020-12-09,95292.63944754466
134,2020-12-09,477899.24117734714
180,2020-12-10,113705.09814468211
181,2020-12-10,683106.9271177122
182,2020-12-10,389500.1006385281
183,2020-12-10,96669.1713496807
184,2020-12-10,485487.5411588305
230,2020-12-11,115990.3620972894
231,2020-12-11,688406.7832916294
232,2020-12-11,393431.51413806283
233,2020-12-11,98056.0765453019
234,2020-12-11,493282.0797729299
280,2020-12-12,117877.55275150045
281,2020-12-12,693981.5406220463
282,2020-12-12,397134.23388831085
283,2020-12-12,99473.0527140986
284,2020-12-12,500893.61860662117
330,2020-12-13,119635.17484434051
331,2020-12-13,698762.7656098387
332,2020-12-13,400049.59973018744
333,2020-12-13,100767.13869954631
334,2020-12-13,508310.6217729591
