ForecastID,ds,Confirmed
40,2020-12-07,93360.03489855978
41,2020-12-07,407647.8573135458
42,2020-12-07,1312002.6763050766
43,2020-12-07,225189.5373724598
44,2020-12-07,2486.3652014063136
90,2020-12-08,94592.44214402615
91,2020-12-08,411716.8704322549
92,2020-12-08,1324010.5080766943
93,2020-12-08,227885.55810072215
94,2020-12-08,2502.599944717643
140,2020-12-09,95920.10423997579
141,2020-12-09,416122.655142631
142,2020-12-09,1336218.9411333322
143,2020-12-09,230691.619289218
144,2020-12-09,2516.0915514198377
190,2020-12-10,97278.85860288946
191,2020-12-10,420459.54449134297
192,2020-12-10,1346949.3734972621
193,2020-12-10,234620.63614832872
194,2020-12-10,2545.744824097887
240,2020-12-11,98658.5807631612
241,2020-12-11,424910.94451488217
242,2020-12-11,1358940.4819561793
243,2020-12-11,238601.57570668505
244,2020-12-11,2571.744506087683
290,2020-12-12,100034.28961166253
291,2020-12-12,429299.81145772315
292,2020-12-12,1369795.8219867395
293,2020-12-12,242697.6533826501
294,2020-12-12,2595.3524802680167
340,2020-12-13,101323.16349157366
341,2020-12-13,433735.2937638494
342,2020-12-13,1377868.217088748
343,2020-12-13,245825.5630331139
344,2020-12-13,2618.1293699826406
