ForecastID,ds,Confirmed
0,2020-12-07,263573.3735115287
1,2020-12-07,36484.627445439335
2,2020-12-07,339946.101039419
3,2020-12-07,169994.26680922578
4,2020-12-07,1265398.0834959436
5,2020-12-07,273933.68030158104
6,2020-12-07,129120.56242599573
7,2020-12-07,35370.68818829564
8,2020-12-07,1040510.7942996171
9,2020-12-07,482300.89846135955
10,2020-12-07,18807.335996517933
11,2020-12-07,112080.52537691448
12,2020-12-07,842246.6142586597
13,2020-12-07,390393.7301294552
14,2020-12-07,274935.31212374486
15,2020-12-07,177277.26224234852
16,2020-12-07,196453.92791292755
17,2020-12-07,254331.6438324618
18,2020-12-07,13158.684967718787
19,2020-12-07,212497.36845862304
20,2020-12-07,235941.7250947145
21,2020-12-07,446178.49778551474
22,2020-12-07,372922.9561061733
23,2020-12-07,160098.79317648933
24,2020-12-07,348553.4083782707
25,2020-12-07,73643.55163676814
26,2020-12-07,149574.27494601766
27,2020-12-07,159828.23680039097
28,2020-12-07,21045.709209736804
29,2020-12-07,362740.7394972575
30,2020-12-07,107126.01885431158
31,2020-12-07,668478.4151140499
32,2020-12-07,380238.8604294443
33,2020-12-07,92710.78728556068
34,2020-12-07,463028.44824118365
35,2020-12-07,215761.72360724772
36,2020-12-07,80186.54225807381
37,2020-12-07,398915.7441888328
38,2020-12-07,61969.347232592285
39,2020-12-07,228814.49890006718
40,2020-12-07,93360.03489855977
41,2020-12-07,407647.85731354577
42,2020-12-07,1312002.6763050766
43,2020-12-07,225189.5373724598
44,2020-12-07,2486.3652014063136
45,2020-12-07,238635.4330258529
46,2020-12-07,171801.2088551884
47,2020-12-07,53895.402045402254
48,2020-12-07,482205.85915286024
49,2020-12-07,40372.2573567382
50,2020-12-08,265512.46559152857
51,2020-12-08,37277.17872087357
52,2020-12-08,343222.4643787898
53,2020-12-08,171412.4678063276
54,2020-12-08,1276595.2126805235
55,2020-12-08,278926.5942967494
56,2020-12-08,130790.84678571275
57,2020-12-08,35654.107996778905
58,2020-12-08,1047514.7735901576
59,2020-12-08,487682.49424445594
60,2020-12-08,18878.162934439806
61,2020-12-08,113597.98903055109
62,2020-12-08,854215.7764287496
63,2020-12-08,396558.1803304525
64,2020-12-08,277906.53477440466
65,2020-12-08,179730.30691430625
66,2020-12-08,199300.3405018118
67,2020-12-08,256857.54902248445
68,2020-12-08,13342.762796257804
69,2020-12-08,214520.5088898638
70,2020-12-08,238029.76397745762
71,2020-12-08,453709.47043799784
72,2020-12-08,378659.64386025065
73,2020-12-08,161314.30926318836
74,2020-12-08,353103.3550848235
75,2020-12-08,74863.03032351338
76,2020-12-08,151826.30830143671
77,2020-12-08,161553.55481450143
78,2020-12-08,21311.68751052021
79,2020-12-08,366614.7088385233
80,2020-12-08,109033.14496873194
81,2020-12-08,673195.4054262042
82,2020-12-08,382995.31325317867
83,2020-12-08,93993.29993384329
84,2020-12-08,470475.6740526384
85,2020-12-08,218590.61663246105
86,2020-12-08,81226.65128226603
87,2020-12-08,404804.7355444843
88,2020-12-08,62870.199524705065
89,2020-12-08,230427.5762184306
90,2020-12-08,94592.44214402616
91,2020-12-08,411716.8704322549
92,2020-12-08,1324010.5080766943
93,2020-12-08,227885.55810072212
94,2020-12-08,2502.599944717643
95,2020-12-08,240233.438852691
96,2020-12-08,173696.46545948726
97,2020-12-08,54636.957706883164
98,2020-12-08,489164.5495994715
99,2020-12-08,41667.460677386814
100,2020-12-09,267544.6607292981
101,2020-12-09,37722.173595397566
102,2020-12-09,345953.6759411214
103,2020-12-09,173220.94862628065
104,2020-12-09,1287482.425619986
105,2020-12-09,283871.2650998123
106,2020-12-09,132490.30232381597
107,2020-12-09,35913.395763114444
108,2020-12-09,1054177.1310371358
109,2020-12-09,490173.0576746643
110,2020-12-09,18990.04442671771
111,2020-12-09,115219.37169078668
112,2020-12-09,866282.3844030113
113,2020-12-09,402737.16124422435
114,2020-12-09,282126.3046493485
115,2020-12-09,182375.5322546621
116,2020-12-09,202363.9083033783
117,2020-12-09,259176.39964930448
118,2020-12-09,13529.423574903822
119,2020-12-09,216505.34014044268
120,2020-12-09,240201.1938708029
121,2020-12-09,460615.73177557107
122,2020-12-09,383614.6270974031
123,2020-12-09,162765.06359716848
124,2020-12-09,357809.16715783085
125,2020-12-09,76066.0957603142
126,2020-12-09,154155.39630142768
127,2020-12-09,163196.9997609282
128,2020-12-09,21595.04541291021
129,2020-12-09,370345.61446644994
130,2020-12-09,111194.27587849923
131,2020-12-09,678066.0921196847
132,2020-12-09,385822.13138278795
133,2020-12-09,95292.63944754467
134,2020-12-09,477899.2411773472
135,2020-12-09,221400.70761657922
136,2020-12-09,82245.18027905519
137,2020-12-09,410534.80958182213
138,2020-12-09,63762.83876830732
139,2020-12-09,231709.24345395013
140,2020-12-09,95920.1042399758
141,2020-12-09,416122.65514263103
142,2020-12-09,1336218.9411333322
143,2020-12-09,230691.619289218
144,2020-12-09,2516.0915514198377
145,2020-12-09,241669.19528545614
146,2020-12-09,175227.66361019856
147,2020-12-09,55502.982873347864
148,2020-12-09,496142.158961685
149,2020-12-09,42135.80836146985
150,2020-12-10,269824.3691872489
151,2020-12-10,38145.52847029084
152,2020-12-10,349188.5553907109
153,2020-12-10,175344.48579127796
154,2020-12-10,1298438.6426866858
155,2020-12-10,288973.2773769049
156,2020-12-10,134244.79841014856
157,2020-12-10,36201.65100377263
158,2020-12-10,1062029.9681636621
159,2020-12-10,492832.4131078649
160,2020-12-10,19099.581174155534
161,2020-12-10,116609.0092843808
162,2020-12-10,878690.8758406213
163,2020-12-10,409242.3933855435
164,2020-12-10,287215.82644935226
165,2020-12-10,184987.70005485663
166,2020-12-10,205404.45844520626
167,2020-12-10,261549.77213043012
168,2020-12-10,13723.191229363501
169,2020-12-10,218669.28110367703
170,2020-12-10,242254.81922242398
171,2020-12-10,468892.0251891792
172,2020-12-10,390918.5382674303
173,2020-12-10,164265.30755594154
174,2020-12-10,362550.5758521817
175,2020-12-10,77302.8654153921
176,2020-12-10,156544.67084087568
177,2020-12-10,165007.46151236392
178,2020-12-10,21889.208368011397
179,2020-12-10,374228.4556910389
180,2020-12-10,113705.09814468212
181,2020-12-10,683106.9271177122
182,2020-12-10,389500.1006385281
183,2020-12-10,96669.1713496807
184,2020-12-10,485487.54115883046
185,2020-12-10,224261.88998830933
186,2020-12-10,83311.87053196713
187,2020-12-10,416479.9675084186
188,2020-12-10,64665.130078156035
189,2020-12-10,233248.9107718353
190,2020-12-10,97278.85860288945
191,2020-12-10,420459.54449134297
192,2020-12-10,1346949.3734972621
193,2020-12-10,234620.63614832872
194,2020-12-10,2545.744824097887
195,2020-12-10,243450.85241543697
196,2020-12-10,177427.16941112143
197,2020-12-10,56438.53665932586
198,2020-12-10,503265.7803282013
199,2020-12-10,43063.30110552417
200,2020-12-11,272137.20878492465
201,2020-12-11,38695.19501864479
202,2020-12-11,352696.1402097051
203,2020-12-11,177604.26788084806
204,2020-12-11,1310019.113098137
205,2020-12-11,294157.73202045355
206,2020-12-11,136067.74451226924
207,2020-12-11,36534.69937600839
208,2020-12-11,1070211.4228548286
209,2020-12-11,495641.0831858925
210,2020-12-11,19228.85431575405
211,2020-12-11,118348.19584292154
212,2020-12-11,891676.3757864838
213,2020-12-11,415757.523066314
214,2020-12-11,292231.7124480517
215,2020-12-11,187739.5121863604
216,2020-12-11,208860.51420745856
217,2020-12-11,264045.1643804345
218,2020-12-11,13925.46540137164
219,2020-12-11,220868.6454007391
220,2020-12-11,244661.4899165904
221,2020-12-11,477884.2206773382
222,2020-12-11,398076.3307289443
223,2020-12-11,165734.27575728289
224,2020-12-11,367562.33813920646
225,2020-12-11,78554.15984414093
226,2020-12-11,158929.89357208816
227,2020-12-11,166918.6673271622
