ForecastID,ds,Deaths
30,2020-12-07,1574.9279188947894
31,2020-12-07,34673.25360601642
32,2020-12-07,5457.361775420917
33,2020-12-07,1071.4403133653288
34,2020-12-07,6471.951686646161
80,2020-12-08,1590.5623967021968
81,2020-12-08,34706.0134818106
82,2020-12-08,5510.975501058529
83,2020-12-08,1087.519540454381
84,2020-12-08,6516.944356078679
130,2020-12-09,1607.100197167017
131,2020-12-09,34723.92036232761
132,2020-12-09,5558.599379197139
133,2020-12-09,1103.3692087908164
134,2020-12-09,6572.5299151295685
180,2020-12-10,1622.777768969153
181,2020-12-10,34803.288388173925
182,2020-12-10,5595.41063328943
183,2020-12-10,1118.3485736054486
184,2020-12-10,6614.01394720492
230,2020-12-11,1639.4541308700705
231,2020-12-11,34854.04045968984
232,2020-12-11,5634.919646544043
233,2020-12-11,1134.1627087720922
234,2020-12-11,6662.7157704027895
280,2020-12-12,1655.3210065150852
281,2020-12-12,34864.3970323713
282,2020-12-12,5666.833837757636
283,2020-12-12,1149.8819701595978
284,2020-12-12,6694.777254764157
330,2020-12-13,1670.194263271284
331,2020-12-13,34879.420596801916
332,2020-12-13,5670.81625908307
333,2020-12-13,1163.3155722133727
334,2020-12-13,6693.707222808462
