ForecastID,ds,Deaths
0,2020-12-07,3779.5818083073095
1,2020-12-07,115.12301113232864
2,2020-12-07,6722.785104312259
3,2020-12-07,2613.8476186536514
4,2020-12-07,19245.155074385
5,2020-12-07,3264.0486376234758
6,2020-12-07,4929.044543251278
7,2020-12-07,784.1770681365425
8,2020-12-07,18826.976624194118
9,2020-12-07,9802.0924118087
10,2020-12-07,244.26090535877705
11,2020-12-07,1036.2516216420277
12,2020-12-07,13641.68783594152
13,2020-12-07,5982.048936270235
14,2020-12-07,2590.006479507414
15,2020-12-07,1646.528696251803
16,2020-12-07,2025.2671954269283
17,2020-12-07,6475.015293607913
18,2020-12-07,181.03465974414183
19,2020-12-07,4664.798209337268
20,2020-12-07,10908.686494328978
21,2020-12-07,9914.192664463602
22,2020-12-07,3896.73708043285
23,2020-12-07,3884.392349679609
24,2020-12-07,3983.5871894747443
25,2020-12-07,771.883115221312
26,2020-12-07,1129.7288656609605
27,2020-12-07,2132.783509633496
28,2020-12-07,524.1924173771262
29,2020-12-07,16834.46266073004
30,2020-12-07,1574.9279188947894
31,2020-12-07,34673.25360601642
32,2020-12-07,5457.361775420917
33,2020-12-07,1071.4403133653286
34,2020-12-07,6471.951686646161
35,2020-12-07,1837.6013322314334
36,2020-12-07,899.5233162091507
37,2020-12-07,10586.781719910105
38,2020-12-07,1380.0100840738708
39,2020-12-07,4462.205074068535
40,2020-12-07,1044.5247018861744
41,2020-12-07,4811.624020950225
42,2020-12-07,22772.637201570873
43,2020-12-07,895.3876356544017
44,2020-12-07,64.85400431060357
45,2020-12-07,4101.178631541267
46,2020-12-07,2825.250322160611
47,2020-12-07,734.8007620037788
48,2020-12-07,4089.865108754881
49,2020-12-07,219.8705895595654
50,2020-12-08,3808.106800692096
51,2020-12-08,117.41506291932409
52,2020-12-08,6744.319198939078
53,2020-12-08,2637.783025761469
54,2020-12-08,19326.08857080353
55,2020-12-08,3302.668365501833
56,2020-12-08,4932.446743857113
57,2020-12-08,788.3387458919314
58,2020-12-08,18911.210078970213
59,2020-12-08,9864.10069054761
60,2020-12-08,244.9475030777464
