ForecastID,ds,Confirmed
45,2020-12-07,238635.43302585286
46,2020-12-07,171801.2088551884
47,2020-12-07,53895.402045402254
48,2020-12-07,482205.85915286024
49,2020-12-07,40372.2573567382
95,2020-12-08,240233.438852691
96,2020-12-08,173696.46545948726
97,2020-12-08,54636.95770688316
98,2020-12-08,489164.5495994715
99,2020-12-08,41667.460677386814
145,2020-12-09,241669.19528545617
146,2020-12-09,175227.66361019856
147,2020-12-09,55502.98287334786
148,2020-12-09,496142.158961685
149,2020-12-09,42135.80836146985
195,2020-12-10,243450.85241543697
196,2020-12-10,177427.16941112146
197,2020-12-10,56438.53665932586
198,2020-12-10,503265.7803282013
199,2020-12-10,43063.30110552417
245,2020-12-11,245334.64786786414
246,2020-12-11,179578.7227688494
247,2020-12-11,57537.94710597049
248,2020-12-11,510466.48271291755
249,2020-12-11,44248.9089644799
295,2020-12-12,247206.4152796586
296,2020-12-12,181800.97216158066
297,2020-12-12,58640.46014678004
298,2020-12-12,517420.30782037985
299,2020-12-12,44413.19996804002
345,2020-12-13,248704.41702179148
346,2020-12-13,183372.41784044274
347,2020-12-13,59535.33547640306
348,2020-12-13,523936.4270876613
349,2020-12-13,45130.994408181235
