ForecastID,ds,Confirmed
5,2020-12-07,273933.68030158104
6,2020-12-07,129120.56242599573
7,2020-12-07,35370.68818829564
8,2020-12-07,1040510.794299617
9,2020-12-07,482300.8984613595
55,2020-12-08,278926.5942967494
56,2020-12-08,130790.84678571275
57,2020-12-08,35654.107996778905
58,2020-12-08,1047514.7735901576
59,2020-12-08,487682.4942444559
105,2020-12-09,283871.2650998123
106,2020-12-09,132490.30232381597
107,2020-12-09,35913.395763114444
108,2020-12-09,1054177.131037136
109,2020-12-09,490173.0576746643
155,2020-12-10,288973.2773769049
156,2020-12-10,134244.79841014856
157,2020-12-10,36201.65100377263
158,2020-12-10,1062029.968163662
159,2020-12-10,492832.4131078649
205,2020-12-11,294157.73202045355
206,2020-12-11,136067.74451226924
207,2020-12-11,36534.699376008386
208,2020-12-11,1070211.4228548286
209,2020-12-11,495641.0831858925
255,2020-12-12,299347.3969120266
256,2020-12-12,137525.06222566142
257,2020-12-12,36832.49600983458
258,2020-12-12,1077676.4641177703
259,2020-12-12,498889.64022609626
305,2020-12-13,304284.02399514895
306,2020-12-13,138935.72112726877
307,2020-12-13,37133.11167079044
308,2020-12-13,1085083.2633259464
309,2020-12-13,500156.69332881883
