ForecastID,ds,Deaths
0,2020-12-07,3779.5818083073095
1,2020-12-07,115.12301113232864
2,2020-12-07,6722.785104312259
3,2020-12-07,2613.8476186536514
4,2020-12-07,19245.155074385002
50,2020-12-08,3808.1068006920964
51,2020-12-08,117.4150629193241
52,2020-12-08,6744.319198939078
53,2020-12-08,2637.783025761469
54,2020-12-08,19326.08857080353
100,2020-12-09,3840.3733098275466
101,2020-12-09,118.77282329579006
102,2020-12-09,6788.5059136125765
103,2020-12-09,2656.9075468201618
104,2020-12-09,19424.147434932052
150,2020-12-10,3867.621005699468
151,2020-12-10,119.9892125283206
152,2020-12-10,6820.383270721777
153,2020-12-10,2674.0209665670154
154,2020-12-10,19498.342142101377
200,2020-12-11,3895.163478373817
201,2020-12-11,121.32206351832644
202,2020-12-11,6846.816993162384
203,2020-12-11,2691.195063116448
204,2020-12-11,19578.41101945954
250,2020-12-12,3915.6140869775786
251,2020-12-12,122.1249208686754
252,2020-12-12,6884.693530474629
253,2020-12-12,2708.6817614736087
254,2020-12-12,19618.389119513144
300,2020-12-13,3927.701904116445
301,2020-12-13,122.4193032526556
302,2020-12-13,6881.328188672601
303,2020-12-13,2725.3339987922595
304,2020-12-13,19589.46701483655
