ForecastID,ds,Deaths
5,2020-12-07,3264.048637623476
6,2020-12-07,4929.044543251278
7,2020-12-07,784.1770681365425
8,2020-12-07,18826.976624194114
9,2020-12-07,9802.0924118087
55,2020-12-08,3302.6683655018333
56,2020-12-08,4932.446743857113
57,2020-12-08,788.3387458919314
58,2020-12-08,18911.210078970213
59,2020-12-08,9864.10069054761
105,2020-12-09,3339.5498188189963
106,2020-12-09,4946.084551722072
107,2020-12-09,790.183259664436
108,2020-12-09,18992.66369557679
109,2020-12-09,9909.058807330788
155,2020-12-10,3375.9197619995075
156,2020-12-10,4956.990044880284
157,2020-12-10,792.3766439973067
158,2020-12-10,19079.50770512317
159,2020-12-10,9952.591641078752
205,2020-12-11,3411.579193516173
206,2020-12-11,4968.210279062626
207,2020-12-11,796.5986504097893
208,2020-12-11,19155.76864109092
209,2020-12-11,9999.091076838711
255,2020-12-12,3441.7348061849407
256,2020-12-12,4973.872339471613
257,2020-12-12,798.5077994029491
258,2020-12-12,19209.973653173543
259,2020-12-12,10037.357172002019
305,2020-12-13,3462.696103502188
306,2020-12-13,4974.313691532437
307,2020-12-13,799.4142639977348
308,2020-12-13,19229.174477160534
309,2020-12-13,10053.136275223076
